Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate
1,0.9902358623345693,0.01906967955020567,0.5212394543488821,0.5114753181735675,18.644877492663095,0.5362988229393959,0.019257714525958695,0.0005
2,0.9987213595708211,0.00996817659586668,0.7401344893376033,0.7388558467229207,17.128243121610367,0.5877292821407318,0.009980938627516976,0.0005
3,1.00394362449646,0.007294038441032171,0.7239181351661682,0.7278617604573567,21.90613430331606,0.6552546917200088,0.007265386484914016,0.0005
4,1.001013312737147,0.006507571474649012,0.7390668872992198,0.7400802000363668,23.455315034037127,0.7089099650382995,0.006500983944813744,0.0005
5,1.0002009018262228,0.005961635281952719,0.7087655472755432,0.708966453075409,23.166256690468714,0.7142422264814376,0.005960437819109772,0.0005
6,1.0025600437323252,0.005997964149961869,0.6012879964709282,0.6038480416933696,22.50496438016393,0.7074255710840225,0.0059826483086565865,0.0005
7,1.0003917193412781,0.005945789745698373,0.04014485342234063,0.040536571389238815,23.005726344174967,0.7188998793363571,0.00594346157684458,0.0005
8,1.0000246493021647,0.00596609575363497,0.005369066230293053,0.00539371368320038,21.948430952900033,0.7055495390892029,0.005965948697162834,0.0005
9,1.002203712463379,0.005684001566842198,0.4170056033460423,0.41920931165106595,23.311424134459166,0.7353652201890946,0.005671503204544251,0.0005
10,1.0014369118213653,0.005321055566892028,0.49776816725730894,0.4992050810654958,23.51621328577156,0.7140322618484497,0.005313420649948231,0.0005
11,1.001026994784673,0.005263159076372782,0.5114857818682988,0.5125127746661504,23.83047497296254,0.7245025177001954,0.005257759384905418,0.0005
12,1.0026616529623666,0.00525911055970937,0.5298174726963043,0.5324791236718496,23.409781357508876,0.737224841952324,0.0052451497912294875,0.0005
13,1.006025642156601,0.005254793430988987,0.4982242147127787,0.5042498549818992,22.02064047073226,0.7099004541635513,0.00522331957635232,0.0005
14,1.0027212802569072,0.005420129224658013,0.3915779068072637,0.3942991910378138,23.421160205722735,0.7317481927871704,0.0054054195631205925,0.0005
15,1.0025445640087127,0.0051315776507059735,0.4376590838034948,0.44020365208387374,23.636732284430817,0.7308343635797501,0.005118553164546785,0.0005
16,1.002998665968577,0.005239510821799437,0.46504014988740283,0.4680388190348943,21.634090513209184,0.7264442436695099,0.005223846251819028,0.0005
17,1.0003715403874716,0.005143775149869422,0.4789489010969798,0.47932044267654417,22.856039267795367,0.7397184809446334,0.0051418647394518,0.0005
18,1.0042456793785095,0.004811370597841839,0.5002174989382426,0.5044631777207057,23.6922026077077,0.7319238183498382,0.004791029423018696,0.0005
19,1.006696161031723,0.005029304215374092,0.5368186265230179,0.5435147893428802,22.133641933348525,0.7295629452466965,0.004995851191306577,0.0005
20,1.0103114235401154,0.005149776252607504,0.5142605133851369,0.5245719422896703,24.356669042051013,0.7335385725498199,0.0050972166924162544,0.0005
21,1.007634048461914,0.005039499526222547,0.46210096140702567,0.4697350154320399,23.95192533337767,0.7350750157833099,0.005001319212977177,0.0005
