Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Loss_Ratio,Learning_Rate
1,0.9982895425955455,0.0077288212556029775,0.19304627384572642,0.1913358175483233,26.269032813481132,0.8991607251167297,0.00774206372582858,0.001
2,0.9999999927679698,0.004472456112038344,5.406393339802513e-07,5.346919674875033e-07,27.96287067722071,0.9153237959742546,0.004472456144383282,0.001
3,1.0000001856221092,0.004162541478717079,2.9032939190736523e-06,3.0892408803581463e-06,27.676299414461624,0.9150144391655922,0.004162540706057493,0.001
4,1.000000034623676,0.0039422296231819524,5.153525257900973e-07,5.505376686339861e-07,28.139059391991893,0.9156986368894577,0.003942229486687476,0.001
5,0.9999999945163727,0.003794926074333489,1.7942164642428178e-07,1.7425772827025888e-07,28.067989682637652,0.9160612690448761,0.0037949260951434497,0.001
6,1.0000000003973644,0.0036853847213399907,1.1468270392680209e-07,1.1553108714065944e-07,27.574732380398,0.9146916500926018,0.00368538471987555,0.001
7,1.0000000046888988,0.003580586756320877,8.77052979886101e-08,9.261782480612444e-08,28.481772850021798,0.9198541935086251,0.0035805867395318682,0.001
8,0.9999999992052714,0.0035255928501590258,1.5958645352059332e-08,1.5137883340079892e-08,28.470425939798552,0.9179144965410233,0.003525592852960915,0.001
9,1.000000003470315,0.00348276955448091,1.6306647756558695e-07,1.6684301148348902e-07,28.769769489322865,0.9225543739199639,0.003482769542394603,0.001
10,1.0,0.0034911564680644206,2.1172364444891198e-10,2.1687783676112755e-10,28.81107618201549,0.921340177834034,0.0034911564680644206,0.001
11,1.0,0.0034123274346089198,9.086990143791175e-12,9.456354212606033e-12,28.820150497939323,0.922467178106308,0.0034123274346089198,0.001
12,1.0,0.0033617400688947074,1.188864868607217e-10,1.280191232298323e-10,28.823670687896623,0.9209285869598388,0.0033617400688947074,0.001
13,1.0,0.0033417010506511563,1.311449826943802e-12,1.6078751181809181e-12,28.96791167496234,0.9223904475569725,0.0033417010506511563,0.001
14,1.0,0.0033504422816654873,4.8026514781018744e-11,4.91761588063053e-11,28.922890557692696,0.9224542796015739,0.0033504422816654873,0.001
15,1.0,0.0033060672897845507,3.861134850131447e-12,3.405380169231002e-12,28.916322362530877,0.9213931591510772,0.0033060672897845507,0.001
16,1.0,0.003286555444407794,5.028890854807673e-12,4.895434388465275e-12,29.03921412045465,0.9230756129622459,0.003286555444407794,0.001
17,1.0,0.0033503167221529614,2.6532195199016145e-11,2.6546097357168766e-11,29.161218365676138,0.9239239165186882,0.0033503167221529614,0.001
18,1.0,0.003272595539637324,2.5785431941180825e-12,2.6039636910982e-12,28.947674251243647,0.9229190456271171,0.003272595539637324,0.001
19,1.0,0.0032418397993573714,5.5001692350313275e-11,6.149624094835293e-11,29.20162037019285,0.9243276101946831,0.0032418397993573714,0.001
20,1.0,0.0032748325921905536,4.285447502116809e-13,4.3452906693089073e-13,29.096358438537372,0.92362140583992,0.0032748325921905536,0.001
21,1.0,0.003270313591334141,9.396755393449113e-11,9.559961462031763e-11,29.201097661743187,0.9238591846227646,0.003270313591334141,0.001
22,1.0,0.003237187241255823,1.8865783991035815e-13,1.9001934706165116e-13,29.032136699722958,0.9236439567804337,0.003237187241255823,0.001
