Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Loss_Ratio,Learning_Rate
1,0.9977584636580084,0.003908971676293319,0.8006227177293064,0.798381181746234,29.37899973977665,0.8784081745147705,0.003917753463059731,0.001
2,1.0,0.0009070343832538185,1.0,1.0,31.54306114573724,0.9048087096214295,0.0009070343832538185,0.001
3,1.0,0.0006978102732862624,1.0,1.0,32.574461652254676,0.917214673558871,0.0006978102732862624,0.001
4,1.0,0.000641062423150588,1.0,1.0,32.73685872763527,0.9258192710081736,0.000641062423150588,0.001
5,1.0,0.0005809577531181275,1.0,1.0,32.44627924292412,0.9239026323954265,0.0005809577531181275,0.001
6,1.0,0.0005892734736841431,1.0,1.0,33.04782372205383,0.9190832048654556,0.0005892734736841431,0.001
7,1.0,0.0005684754800515912,1.0,1.0,32.85694893563226,0.9268341747919718,0.0005684754800515912,0.001
8,1.0,0.0008472271536395299,1.0,1.0,31.262438380112872,0.9166314433018367,0.0008472271536395299,0.001
9,1.0,0.0005986078391445695,1.0,1.0,32.117694810387626,0.9212630689144135,0.0005986078391445695,0.001
10,1.0,0.0005609005746328435,1.0,1.0,33.10506118619053,0.9278062083323797,0.0005609005746328435,0.001
11,1.0,0.000530910759959634,1.0,1.0,31.76259213784522,0.9289773134390513,0.000530910759959634,0.001
12,1.0,0.0005235755893002149,1.0,1.0,32.98645216992802,0.9242531104882559,0.0005235755893002149,0.001
13,1.0,0.0005043021512527461,1.0,1.0,29.519963849200135,0.925367604692777,0.0005043021512527461,0.001
14,1.0,0.000502433988332302,1.0,1.0,33.15535158485034,0.9319479183355968,0.000502433988332302,0.001
15,1.0,0.0004952903271571148,1.0,1.0,33.50758949845799,0.9309460548559825,0.0004952903271571148,0.001
16,1.0,0.00047614121962321883,1.0,1.0,34.00735290804984,0.9347067588567733,0.00047614121962321883,0.001
17,1.0,0.00048030977184493,1.0,1.0,33.47470972377889,0.929189399878184,0.00048030977184493,0.001
18,1.0,0.00045160983222267907,1.0,1.0,33.45436953796028,0.9312421836455663,0.00045160983222267907,0.001
19,1.0,0.0004525915322736501,1.0,1.0,34.06162505352237,0.938092576265335,0.0004525915322736501,0.001
20,1.0,0.0004379700559201007,1.0,1.0,33.46229640233477,0.9353640154997508,0.0004379700559201007,0.001
21,1.0,0.00044546839890019854,1.0,1.0,33.4211364475579,0.9334850529829661,0.00044546839890019854,0.001
22,1.0,0.0005704927151079395,1.0,1.0,33.773289834361435,0.9323339692751567,0.0005704927151079395,0.001
23,1.0,0.0004402547118346418,1.0,1.0,33.87174879453557,0.9359478588898976,0.0004402547118346418,0.001
24,1.0,0.00043279965105406536,1.0,1.0,33.79621936666392,0.9285275407632192,0.00043279965105406536,0.001
25,1.0,0.00044981911994178405,1.0,1.0,33.347770144285434,0.9361585023005804,0.00044981911994178405,0.001
26,1.0,0.0004240443735664288,1.0,1.0,33.41250987275368,0.9317962582906087,0.0004240443735664288,0.001
27,1.0,0.0004363575445988561,1.0,1.0,33.45580241707708,0.9361478426059087,0.0004363575445988561,0.001
28,1.0,0.00042455004151315266,1.0,1.0,33.873501209476714,0.9352234341700871,0.00042455004151315266,0.001
29,1.0,0.0004217064171053167,1.0,1.0,33.780327291842475,0.9275118299325307,0.0004217064171053167,0.001
30,1.0,0.0004288235748697975,1.0,1.0,34.30154531644239,0.9399763347705206,0.0004288235748697975,0.001
31,1.0,0.0004204851988560194,1.0,1.0,33.79299068545605,0.937108746767044,0.0004204851988560194,0.001
32,1.0,0.000421676675863468,1.0,1.0,34.04168458530081,0.9383154388268788,0.000421676675863468,0.001
33,1.0,0.00040267096799540274,1.0,1.0,34.28515640275998,0.9397350285450617,0.00040267096799540274,0.001
34,1.0,0.0004299624909595202,1.0,1.0,33.95059543861243,0.9371326889594396,0.0004299624909595202,0.001
35,1.0,0.0004178778423202229,1.0,1.0,34.506228411951454,0.9378522898753484,0.0004178778423202229,0.001
36,1.0,0.00041833235271342253,1.0,1.0,34.138845813128256,0.9366272284587225,0.00041833235271342253,0.001
37,1.0,0.00039645805540128575,1.0,1.0,34.27555528652001,0.9395024128754934,0.00039645805540128575,0.001
38,1.0,0.00040499899293939325,1.0,1.0,32.48249258547468,0.9380116365353266,0.00040499899293939325,0.001
39,1.0,0.00039080554218878777,1.0,1.0,34.43782026519582,0.9404816919565201,0.00039080554218878777,0.001
40,1.0,0.00039392341685015706,1.0,1.0,34.574584805449966,0.9405393356084824,0.00039392341685015706,0.001
41,1.0,0.00039096948512038935,1.0,1.0,34.45047411367864,0.9397466711203257,0.00039096948512038935,0.001
42,1.0,0.000393612709051819,1.0,1.0,34.799446798198105,0.9400130401055018,0.000393612709051819,0.001
43,1.0,0.0006831708661242768,1.0,1.0,34.50424057535151,0.9419827405611674,0.0006831708661242768,0.001
44,1.0,0.00037450726945871326,1.0,1.0,34.51451345371789,0.9422794737418493,0.00037450726945871326,0.001
45,1.0,0.0003764386515681555,1.0,1.0,34.87994903075885,0.9391802382469178,0.0003764386515681555,0.001
46,1.0,0.0003911918879125973,1.0,1.0,34.887948641029894,0.9418804434935252,0.0003911918879125973,0.001
47,1.0,0.00039524844865321864,1.0,1.0,34.83522244149694,0.9424480539560318,0.00039524844865321864,0.001
48,1.0,0.00038851488944048243,1.0,1.0,34.248301716907406,0.9391549728314081,0.00038851488944048243,0.001
49,1.0,0.00039669190105452853,1.0,1.0,34.40747539770341,0.9378123698631923,0.00039669190105452853,0.001
50,1.0,0.0003905547488920064,1.0,1.0,34.489893857085285,0.9401246990760167,0.0003905547488920064,0.001
51,1.0,0.0003844038077951745,1.0,1.0,34.58407460388409,0.9419832603136699,0.0003844038077951745,0.001
52,1.0,0.00038161103286631597,1.0,1.0,33.77786074483764,0.9389731701215108,0.00038161103286631597,0.001
53,1.0,0.0003734498018637112,1.0,1.0,35.03056901524764,0.9400039939085643,0.0003734498018637112,0.001
54,1.0,0.0003859992492457938,1.0,1.0,34.7342696498587,0.940335799853007,0.0003859992492457938,0.001
55,1.0,0.0003637656518774222,1.0,1.0,34.7488386115363,0.9415630545218786,0.0003637656518774222,0.001
56,1.0,0.00037456083089112036,1.0,1.0,34.86293145544796,0.941352421840032,0.00037456083089112036,0.001
57,1.0,0.0005551118715474209,1.0,1.0,24.39838722200254,0.8156409597396851,0.0005551118715474209,0.001
58,1.0,0.00045123363012740793,1.0,1.0,34.83421108950148,0.9381241089105606,0.00045123363012740793,0.001
59,1.0,0.00037910476343444615,1.0,1.0,35.02498472605304,0.9408706925312678,0.00037910476343444615,0.001
60,1.0,0.0003755081913010313,1.0,1.0,34.35425174009844,0.9402037900686264,0.0003755081913010313,0.001
61,1.0,0.0003841271095119474,1.0,1.0,35.04033935862503,0.9412541874249776,0.0003841271095119474,0.001
62,1.0,0.00036735146089526583,1.0,1.0,35.18204037395151,0.9416095074017843,0.00036735146089526583,0.001
63,1.0,0.0004591798266910794,1.0,1.0,34.49265791713169,0.9416925905148188,0.0004591798266910794,0.001
64,1.0,0.0003729972998658435,1.0,1.0,34.68136508267632,0.940993646979332,0.0003729972998658435,0.001
65,1.0,0.0003730647990326445,1.0,1.0,34.62769493339203,0.9400425845384598,0.0003730647990326445,0.001
66,1.0,0.0003838179486392056,1.0,1.0,34.859480324514955,0.9423549417654673,0.0003838179486392056,0.001
67,1.0,0.0003663898096329859,1.0,1.0,34.764575643683095,0.9408064860105515,0.0003663898096329859,0.001
68,1.0,0.000373133633058631,1.0,1.0,34.83402773339725,0.9411349030335744,0.000373133633058631,0.001
69,1.0,0.00037062429350869224,1.0,1.0,35.00432992631421,0.9443983809153239,0.00037062429350869224,0.001
70,1.0,0.0003684987245801447,1.0,1.0,34.612861498960555,0.9409092688560485,0.0003684987245801447,0.001
71,1.0,0.00036540084836084023,1.0,1.0,35.1004896614008,0.9441665055354437,0.00036540084836084023,0.001
72,1.0,0.00036476376107605845,1.0,1.0,34.18987392635153,0.9436196794112524,0.00036476376107605845,0.001
73,1.0,0.0003685350086046119,1.0,1.0,35.08576116343794,0.9443273228406907,0.0003685350086046119,0.001
74,1.0,0.00036153394275689353,1.0,1.0,35.32726251778062,0.9433969938755036,0.00036153394275689353,0.001
75,1.0,0.00035712548882938134,1.0,1.0,35.25664342790109,0.9427988342444102,0.00035712548882938134,0.001
76,1.0,0.00036903845907198553,1.0,1.0,35.11563875336985,0.9434023336569468,0.00036903845907198553,0.001
77,1.0,0.00035237897253330056,1.0,1.0,35.197065962666024,0.9440713606278102,0.00035237897253330056,0.001
78,1.0,0.0004044327407924713,1.0,1.0,35.46565778690849,0.9419883280992508,0.0004044327407924713,0.001
79,1.0,0.0003657016924839856,1.0,1.0,35.37059753781791,0.9429635773102443,0.0003657016924839856,0.001
80,1.0,0.0003599385822104223,1.0,1.0,35.31985531454412,0.9414757128556569,0.0003599385822104223,0.001
81,1.0,0.00036635527880676333,1.0,1.0,35.250691598724785,0.9433243379990259,0.00036635527880676333,0.001
82,1.0,0.0003551681769352296,1.0,1.0,35.283320914322594,0.9431297334035238,0.0003551681769352296,0.001
83,1.0,0.00040066312560175555,1.0,1.0,35.28647108822861,0.9408419980605444,0.00040066312560175555,0.001
84,1.0,0.0003565369734808217,1.0,1.0,35.473546733894395,0.9440579338868459,0.0003565369734808217,0.001
85,1.0,0.00035842235485144614,1.0,1.0,34.99310829061513,0.9403105101982753,0.00035842235485144614,0.001
86,1.0,0.00036334275256841774,1.0,1.0,35.14132704352058,0.9413972540696462,0.00036334275256841774,0.001
87,1.0,0.00036660955858041207,1.0,1.0,35.30161628372738,0.9431610592206319,0.00036660955858041207,0.001
88,1.0,0.00035704446481702823,1.0,1.0,35.24819927848936,0.9453267600138983,0.00035704446481702823,0.001
89,1.0,0.00036333331855352413,1.0,1.0,35.24210094311438,0.9443198374907176,0.00036333331855352413,0.001
90,1.0,0.0006019588415246918,1.0,1.0,35.26586165485558,0.9434924948215485,0.0006019588415246918,0.001
91,1.0,0.0003621780376454705,1.0,1.0,35.47783686750166,0.9432964219649633,0.0003621780376454705,0.001
92,1.0,0.0003519150317084289,1.0,1.0,35.29983125444352,0.9437224396069844,0.0003519150317084289,0.001
93,1.0,0.00035435119170945174,1.0,1.0,34.21636243446453,0.9347672400871913,0.00035435119170945174,0.001
94,1.0,0.00035659942795767345,1.0,1.0,34.94282007070038,0.939973239103953,0.00035659942795767345,0.001
95,1.0,0.0004724981021313069,1.0,1.0,35.31761639345276,0.9430882700284322,0.0004724981021313069,0.001
96,1.0,0.00036650597647110904,1.0,1.0,35.493206323851744,0.944256092508634,0.00036650597647110904,0.001
97,1.0,0.00034568783558440664,1.0,1.0,34.21253437800345,0.9427144930760065,0.00034568783558440664,0.001
