Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate
1,0.9948255046208699,0.015400120726165673,0.40810207386811576,0.40292758027712505,20.40136958218351,0.6195028896331787,0.015480223068903617,0.001
2,1.0020890057086944,0.007991042367648334,0.3472956215341886,0.34938462962706884,18.626937991298785,0.6270676637887955,0.007974383834295171,0.001
3,1.0008611023426055,0.006407069402436415,0.2529160846273104,0.25377718850970266,22.922265888427717,0.6954233943223953,0.006401557006701622,0.001
4,1.0008606098095576,0.006020731043148165,0.3184513941903909,0.31931200409928956,21.66773637354989,0.693890751004219,0.006015553998367247,0.001
5,0.9974138108889262,0.006343085854314268,0.43399215509494143,0.4314059666792552,22.941739284161905,0.6932467850446701,0.006359532808815944,0.001
6,1.0023043356339136,0.005520651150339594,0.43124142160018286,0.4335457589228948,23.06446376566671,0.7098155254125595,0.005507958964228189,0.001
7,1.0036722218990326,0.005768492977367714,0.43781449447075527,0.44148671661814054,16.649497204704588,0.6184585268497467,0.00574738729587757,0.001
8,1.006331968108813,0.005230110952397809,0.648654106358687,0.654986073176066,22.99949079905909,0.7122241667509079,0.005197202432341179,0.001
9,1.002292660077413,0.007841957395430654,0.4837294493118922,0.4860221089919408,21.2677596254581,0.6608933382034302,0.00782401957809905,0.001
10,1.0020737004280091,0.00581413722752283,0.3049272627135118,0.3070009630421797,23.648334851145925,0.7045737029314041,0.005802105399073418,0.001
11,1.0,0.004765716586650039,1.0,1.0,23.151156419424836,0.7014023520946503,0.004765716586650039,0.001
12,1.0,0.004914412370805318,1.0,1.0,22.62533878095777,0.7045351481437683,0.004914412370805318,0.001
13,1.0,0.004622103609532738,1.0,1.0,23.260558082263152,0.6918138782978058,0.004622103609532738,0.001
14,1.0000000007947285,0.004454005035610559,0.9999999994039536,1.0,21.757870097423723,0.7013647079467773,0.004454005032070834,0.001
15,1.0,0.004658404246050243,1.0,1.0,22.454302385806262,0.708604924082756,0.004658404246050243,0.001
16,1.0,0.004455062929579678,1.0,1.0,23.155321590450466,0.7092689509391785,0.004455062929579678,0.001
17,1.0,0.004531323432650727,1.0,1.0,23.453843685614263,0.7054704567193985,0.004531323432650727,0.001
18,1.0,0.004686461683983604,1.0,1.0,24.2428416615595,0.7266649185419083,0.004686461683983604,0.001
19,1.0,0.004359526176316042,1.0,1.0,23.25762600668321,0.7263190006017685,0.004359526176316042,0.001
20,1.0,0.004449682229508956,1.0,1.0,22.52224482219255,0.7203354272842407,0.004449682229508956,0.001
21,1.0,0.0045028092762610565,1.0,1.0,24.214538857459004,0.7274345086812973,0.0045028092762610565,0.001
22,1.0,0.004467148197581991,1.0,1.0,23.766618548788273,0.7217530900239945,0.004467148197581991,0.001
23,1.0,0.00453022282764626,1.0,1.0,23.220204863147647,0.720773225903511,0.00453022282764626,0.001
