Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9897545379541339,0.011335703917191367,0.33888695568272775,0.3340651127583115,28.446051424509786,0.899732179121444
2,0.9985108347654064,0.003118948451994451,0.3753713474969132,0.3755892532912074,29.938178476510267,0.9592550084193404
3,1.0005241414288484,0.0022819028946135774,0.44911614642715314,0.4496992393924441,32.024359313540856,0.9085496097620674
4,0.998177523188539,0.001566541283613958,0.5640382607345179,0.5622790199020917,33.42807732442684,0.9758641756950285
5,0.9975116298765403,0.0013698760642877213,0.5357524967785842,0.5335425497303021,34.400601751898975,0.9793772357678645
6,0.9984854058070934,0.0012608778068026166,0.5176085598847942,0.5162340173996189,34.691005281382125,0.9775118557377431
7,0.997633583484959,0.0013693328186687396,0.4956842427012966,0.49382851288177226,33.50642229104862,0.977507929794214
8,1.0000487314668765,0.0012501645899995432,0.46444420532450237,0.464711081945717,35.365936094630385,0.9817340598932307
9,1.00040999369535,0.001159698199129986,0.5239090443290478,0.5255236101508859,33.518610136808114,0.9812837252309522
10,0.9998460839788423,0.0012161414749160457,0.43359290389943406,0.43379652499079696,34.48297331163639,0.9808172579072644
11,0.9990526755014254,0.0012894156814743365,0.3762089399571102,0.3757160087160068,32.26543646453789,0.9736852367919342
12,0.9997999551605014,0.001498280735018796,0.14356953238721085,0.14384469601088432,35.914262597246974,0.9842035774279723
13,0.999966254125737,0.0015450770723505307,0.00529145404157248,0.005270702342409172,35.58235781602824,0.9839894187334505
14,1.0,0.0015495376313336903,1.0388482500277142e-38,1.6946304748804677e-38,34.64505520612641,0.983438818112182
15,1.0,0.0014983852833015579,2.9694330509485284e-37,1.436297655786452e-36,35.735092918564234,0.9838577173019769
16,1.0,0.0015118061119988768,2.440325042714324e-34,2.6376397915556235e-35,34.88089796968963,0.9825727100590386
17,1.0,0.0015596244983438273,5.737717136739886e-38,7.795911280209848e-38,36.51376316300458,0.9840298306182171
18,1.0,0.0014829743329593,1.999237108167849e-37,3.48518592884882e-37,36.49984857135828,0.9849135745417354
19,1.0,0.0014621728306309987,2.412247764227626e-35,1.2882580010797333e-34,35.789133159303965,0.9844943682281156
20,1.0,0.001481793500068882,6.885851526933075e-38,1.1341453093042366e-37,36.55837756213074,0.9849374673544266
21,1.0,0.0014794124597442147,7.370474012248138e-35,3.1941696696247023e-35,36.02715814955821,0.9842038913128571
22,1.0,0.001454677814533095,1.4731054174338285e-38,2.9793243610198233e-38,35.86222505389409,0.9845761736176792
23,1.0,0.0014842904105509423,1.6622995997143053e-37,5.773728609770381e-37,36.73803869500963,0.9851711117238247
24,1.0,0.0014267516206532024,2.3697036958505777e-37,2.8847122647287128e-37,36.68248148248447,0.9843418068022105
25,1.0,0.0014042497671146997,7.534361526865159e-37,7.187828630302359e-37,35.204803342697005,0.9839475745127962
26,1.0,0.0014402201923311806,5.736263925483336e-38,6.264377726670142e-38,36.59415278435628,0.9850784352154538
27,1.0,0.001413371659004019,2.307574392898598e-37,1.5210999219995971e-37,36.86616110208452,0.9859617367939508
28,1.0,0.0014180323138179084,2.0184819556700834e-36,4.3485387077153094e-36,37.08953747148289,0.986427165897879
29,1.0,0.0013912632271427677,9.25649528155805e-38,6.855388856999923e-38,36.808341606483424,0.9855411563539488
30,1.0,0.001400084249704527,6.323139828005003e-38,6.134156366484942e-38,36.535589723237905,0.9861542236088076
31,1.0,0.03544120297128263,4.0697368335453475e-37,1.3889766025886866e-31,15.008420963532414,0.7588957190985812
32,1.0,0.04598947935360899,4.989608128899628e-38,2.4865464941386915e-33,15.24934115349132,0.775625178935848
33,1.0,0.03549797344547469,1.0048729727143714e-35,1.318910793111445e-23,25.91291014912075,0.9167436932890717
34,1.0,0.00356600359482881,1.1277576944839944e-38,1.181813905978551e-37,31.174592742012326,0.9627215747658109
35,1.0,0.0024925112012380134,7.56978277277817e-37,6.546249893085249e-37,32.449293883047986,0.9706942937036706
36,1.0,0.002063370290407717,3.854745691395971e-37,1.1808667957436583e-36,33.63723273053398,0.977369809326698
37,1.0,0.0018492561141122878,1.6005819837034185e-38,2.5265910778513917e-38,34.714910426735685,0.9805408756553504
38,1.0,0.0017343199441894914,6.898132857729257e-37,1.0228296296848616e-36,34.72664547858142,0.9803412074788594
39,1.0,0.0016828475453336056,8.440520821450527e-37,2.1501371614155082e-36,35.064817120211536,0.9822449074574499
40,1.0,0.0016636573487634413,7.584243124339787e-38,7.821667398775304e-38,35.255323612736596,0.9828591245861418
41,1.0,0.0016182277327582465,9.282257830483019e-38,4.917164191781473e-38,34.98998254559857,0.9827660342579829
42,1.0,0.0015875159461215848,1.12369494627759e-35,1.3390115482138684e-35,34.91437514998986,0.9816471939040553
43,1.0,0.001559492470146291,4.760790520792053e-38,8.932701176911986e-38,34.52409498402259,0.9804770660177168
44,1.0,0.0015439709441496783,4.4739817424685246e-37,2.8074249928840706e-37,35.453014978026175,0.9834729188588355
45,1.0,0.0015337266734507947,1.7880771553839256e-37,4.737164169835537e-37,35.01593025525627,0.9830048615485162
46,1.0,0.0015310841797466378,2.072874238594169e-33,9.748692982702902e-34,34.11757234114131,0.9827884840244091
47,1.0,0.0015344130433836017,1.108474883029291e-35,4.0481201640692854e-36,36.162427263516065,0.9847417144325512
48,1.0,0.0014785550853743613,5.468054882418067e-37,5.391515834319775e-37,35.773106152740326,0.9832698332134407
49,1.0,0.0014758750367013635,4.334697579757635e-38,5.020892448150528e-38,34.36665856862831,0.9811817902989811
50,1.0,0.0015268526233012856,3.0240253616392184e-36,1.0229440015371503e-35,34.26199376706191,0.9832913237249933
51,1.0,0.0014991054517738255,1.7127757798409242e-32,4.897198366369475e-32,35.067639498539755,0.981855765559238
52,1.0,0.0014850063094485864,2.830354403906677e-35,3.639942981233921e-35,34.81746821463484,0.9837086691373881
53,1.0,0.0014817193202593419,6.189568103800699e-38,9.372165097578409e-38,35.99728210265625,0.9838156714514944
54,1.0,0.0014631450241199412,3.1769764285225105e-37,2.1075086091213528e-37,36.17676299837195,0.9845485304129137
55,1.0,0.001453952204705377,2.262861421101063e-37,1.5578678191445356e-37,34.934767375532005,0.9833558267468723
56,1.0,0.001466092999057108,6.542697952982006e-38,1.7866776213222307e-37,36.51501374644925,0.9857183261702376
57,1.0,0.0014516020604371474,7.556039577154394e-37,4.157957346375263e-37,36.190871625540595,0.9849924837293752
58,1.0,0.00143410792501908,6.521610951970517e-38,3.1818252126125643e-38,36.296448897026956,0.985442733266691
59,1.0,0.0014364701372530805,8.91928493947878e-37,5.386177202758599e-37,36.91362043426347,0.9857226221691072
