Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
60,1.0,0.001437636003560896,1.7833322473457483e-38,3.3675830712181e-38,35.62340386054588,0.9830132009401826
61,1.0,0.001439359512776217,5.707075041255138e-36,3.64610716179613e-35,37.08800446438108,0.9860562854290523
62,1.0,0.0014286607395616673,9.43979266768093e-37,1.034031818970812e-36,36.47392235606634,0.9857622542568449
63,1.0,0.0014506976725709626,3.7838976770578725e-38,1.1022419637704045e-37,36.84564206374583,0.9860019398585558
64,1.0,0.0014315552155029331,1.276879562377367e-37,6.250952783174266e-38,35.54615755172574,0.9856868916636197
65,1.0,0.0014066822525655633,5.8252128230683216e-36,6.022338009121785e-35,36.87896227677782,0.9863825301536777
66,1.0,0.001406778783938777,2.482048460297636e-37,2.938724098712694e-37,37.11410479098509,0.9863370345743775
67,1.0,0.0014111571060112208,4.7000956550733826e-38,6.270560295310235e-38,36.6959900294849,0.9860301374487624
68,1.0,0.0014087310709603564,2.988998469566822e-37,6.533460649943037e-37,36.87843755187583,0.9858648238055003
69,1.0,0.0013999798706331276,1.2460052664648393e-37,1.2886778625433607e-37,36.60797595665842,0.9852458073331334
70,1.0,0.0014061518587224335,2.128125273720531e-38,3.554819703357163e-38,36.82154290432256,0.9861817413154248
71,1.0,0.0014132995697353767,2.509424132891493e-38,2.0856948791910348e-38,36.42078345342295,0.9860660802944555
72,1.0,0.001407152216358226,6.438585109312864e-35,2.8913331405962693e-34,37.31884640485577,0.9864591564426415
73,1.0,0.0014134929735762874,4.744684540253627e-38,5.221110517979739e-38,36.313586402520485,0.985309179862884
74,1.0,0.0013906169442513417,1.345028340107636e-37,4.5067265516412946e-38,37.29185401543404,0.9862415611980028
75,1.0,0.0013812365979003162,4.374949131954879e-38,5.970784854233931e-38,36.75722370900156,0.9859802939714096
76,1.0,0.0014062332814697978,9.72261119563462e-30,1.469458706531374e-29,37.00507413666526,0.9863743427892705
77,1.0,0.0014010601416823646,5.928161860392995e-37,5.521742970649426e-37,36.907403380407224,0.9862411765688222
78,1.0,0.0013809571838505608,1.3019420442882318e-35,7.962835470111966e-36,36.99468520589698,0.9862623587975109
79,1.0,0.0013676374346240296,5.1779648957904e-37,6.284057693826665e-37,37.20896356198846,0.9865024720630845
80,1.0,0.0013598502396112461,4.8879545164101454e-39,4.349733669650034e-39,37.30427347637704,0.9868691104712742
81,1.0,0.001360675680622339,2.914133777342579e-37,1.7936434008409057e-37,37.09631551281083,0.9869544090106842
82,1.0,0.0015420917324746456,6.325699429425641e-38,2.378674376065553e-37,36.2788898420347,0.9854300683206648
83,1.0,0.0013968284294473068,1.740354879664705e-35,1.0867697424013474e-34,36.97516845714938,0.9855307435276786
84,1.0,0.0013651772618566008,3.0441941583982663e-38,3.7977410549972915e-38,37.49403234405748,0.9867316490675762
85,1.0,0.0013648997331043146,1.8999461580881773e-36,3.61893500809348e-36,37.33069070739591,0.9869275599192233
86,1.0,0.001352523663554811,1.0550488086860236e-36,7.39995589682574e-37,37.348202928847705,0.9867725543379998
87,1.0,0.001339118427281153,1.8221397254839157e-37,1.8405601453593003e-37,37.676001265356255,0.9869804058007985
88,1.0,0.0013474061402417878,9.283798676733414e-38,6.828328984014463e-38,37.09277208986479,0.9861465364984355
89,1.0,0.0013437391701009822,3.309133187227426e-39,3.501450351742782e-39,35.29241347389337,0.9858634115381554
90,1.0,0.0014592316483932248,8.768142012029825e-37,6.097574970401306e-37,36.84814953937434,0.9848976226903828
91,1.0,0.001371393501588002,6.795953580352892e-37,2.7668420920961213e-37,37.60372079942888,0.9866814724309521
92,1.0,0.0013547780879728524,1.5992874150842898e-38,2.336518655641388e-38,37.77048883474034,0.9867559842467523
93,1.0,0.001344377811197733,8.301004693797598e-37,5.720635900493548e-37,37.488622638761406,0.9868732077593764
94,1.0,0.001357237280068758,1.9720806769983908e-38,2.3402263339321267e-38,36.2245435616876,0.9857159086084212
95,1.0,0.0013416695745625644,1.959989889185399e-37,2.4797319619915152e-37,37.46152431285244,0.986604447389705
96,1.0,0.0013368215048374698,1.530643217003027e-37,1.3012537145883047e-37,37.600526974203135,0.9870571862419261
97,1.0,0.001329709645625998,2.984056156972945e-37,3.1435153107062417e-37,37.4926213390972,0.9865705091660513
98,1.0,0.00133351529193825,1.7344501673271875e-37,1.894490887522869e-37,37.847825548840454,0.986910874889959
99,1.0,0.0013426395848686978,1.2647649873029931e-36,1.5413898116025978e-36,37.86675913284265,0.9868246289007003
100,1.0,0.0013228149005392019,1.6471544778987223e-36,2.4793216796432176e-36,37.873183067626826,0.9871066796251626
