Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Loss_Ratio,Learning_Rate
1,0.9998896402673623,0.0030181161664215098,0.058657401445635554,0.05854704285175387,29.903388613541498,0.8747476502259572,0.003018449281677216,0.001
2,1.000000261105213,0.0017656003011236948,2.004771434987203e-05,2.031069713822281e-05,25.9966173935383,0.9145166260004044,0.0017655998401163724,0.001
3,0.9999999167747105,0.0016747718700927865,4.404104212058759e-06,4.322459181936272e-06,31.846264691938412,0.9030943834781646,0.001674772009476172,0.001
4,1.0000072922903238,0.001089305927363085,0.5562850569403339,0.5562923496355261,30.695241581604545,0.9190176451206207,0.0010892979838859375,0.001
5,1.0,0.0005948182309230012,1.0,1.0,31.44307969101616,0.9253483877579372,0.0005948182309230012,0.001
6,1.0,0.0005557315940482628,1.0,1.0,26.513441693071016,0.9207172248760859,0.0005557315940482628,0.001
7,1.0,0.0006006543126800962,1.0,1.0,10.423743158919297,0.39630895614624023,0.0006006543126800962,0.001
8,1.0,0.001011842972060099,1.0,1.0,28.998527204071358,0.9112793538967768,0.001011842972060099,0.001
9,1.0,0.0005703385370710298,1.0,1.0,32.52847491167475,0.9191547330220541,0.0005703385370710298,0.001
10,1.0,0.0005641482541992895,1.0,1.0,31.159644706851214,0.9256562070051829,0.0005641482541992895,0.001
11,1.0,0.0005319479781925467,1.0,1.0,31.884577126464883,0.9227646605173747,0.0005319479781925467,0.001
12,1.0,0.0005044443337378793,1.0,1.0,29.999776914682283,0.9194534244139989,0.0005044443337378793,0.001
13,1.0,0.0005345671339387785,1.0,1.0,30.989581517016894,0.9236100902160008,0.0005345671339387785,0.001
14,1.0,0.0004997875557500705,1.0,1.0,31.744960627438587,0.928561596274376,0.0004997875557500705,0.001
15,1.0,0.0005025674194636389,1.0,1.0,32.09927867353104,0.930691853761673,0.0005025674194636389,0.001
16,1.0,0.0004919265649016208,1.0,1.0,32.12682435295052,0.9249497143427531,0.0004919265649016208,0.001
17,1.0,0.0004972040797487746,1.0,1.0,31.428601368279203,0.93017591714859,0.0004972040797487746,0.001
18,1.0,0.0004902270100092678,1.0,1.0,30.95009424620543,0.918289548754692,0.0004902270100092678,0.001
19,1.0,0.0004863852998613831,1.0,1.0,32.73707183269667,0.9318967046340306,0.0004863852998613831,0.001
20,1.0,0.0004791937064251637,1.0,1.0,33.400954377786924,0.9290108356873195,0.0004791937064251637,0.001
21,1.0,0.0005020005121369865,1.0,1.0,33.07596242446674,0.9322244729598363,0.0005020005121369865,0.001
22,1.0,0.0004728704881038248,1.0,1.0,32.864554583318494,0.9306068539619445,0.0004728704881038248,0.001
23,1.0,0.00047550321201380994,1.0,1.0,33.04872365419048,0.9260697424411773,0.00047550321201380994,0.001
