Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Loss_Ratio,Learning_Rate
1,0.9935315014421939,0.018340187313733623,0.7265155428477252,0.7200470439298899,19.144701771762648,0.5527030205726624,0.01845959316550236,0.001
2,1.0,0.011116616091458127,1.0,1.0,17.60703094846773,0.5570762571692467,0.011116616091458127,0.001
3,1.0,0.010515309399343096,1.0,1.0,19.819375707837843,0.5562728540897369,0.010515309399343096,0.001
4,1.0,0.009132297837447064,1.0,1.0,20.898651471374695,0.5955640472173691,0.009132297837447064,0.001
5,1.0,0.008611803925499165,1.0,1.0,21.402349636851522,0.5955731515884399,0.008611803925499165,0.001
6,1.0,0.008321747030907621,1.0,1.0,21.066656039548526,0.5892004247903824,0.008321747030907621,0.001
7,1.0,0.008535732056964965,1.0,1.0,20.030220215359222,0.5888464024066925,0.008535732056964965,0.001
8,1.0000000001986822,0.008244241129529352,0.9999999998013178,1.0,19.488811376266014,0.5947707476615905,0.008244241127891369,0.001
9,1.0,0.007802885990046585,1.0,1.0,19.922030847992588,0.5899073954820633,0.007802885990046585,0.001
10,1.0,0.00805606228124816,1.0,1.0,18.498336521419482,0.5975085996389389,0.00805606228124816,0.001
11,1.0,0.007846842999376047,1.0,1.0,20.633109589289823,0.5950511354207992,0.007846842999376047,0.001
12,1.0,0.007971532844821922,1.0,1.0,21.435271331308954,0.5986061710119247,0.007971532844821922,0.001
13,1.0,0.007987570698993902,1.0,1.0,20.263745579302824,0.5891438915729522,0.007987570698993902,0.001
14,1.0,0.007836751502084856,1.0,1.0,21.369306018421067,0.5970952386856079,0.007836751502084856,0.001
15,1.0,0.007809738688811194,1.0,1.0,20.569141049111614,0.6059137347936631,0.007809738688811194,0.001
16,1.0,0.007699177552228017,1.0,1.0,22.00295064679501,0.6079224947690963,0.007699177552228017,0.001
17,1.0,0.007894092119143655,1.0,1.0,21.52082426332912,0.6070713295936584,0.007894092119143655,0.001
18,1.0,0.008176227098932334,1.0,1.0,20.847126618566012,0.6061933470964431,0.008176227098932334,0.001
19,1.0,0.007545929356225922,1.0,1.0,21.7825675411919,0.6063164763450622,0.007545929356225922,0.001
20,1.0,0.00797264197608456,1.0,1.0,20.85656806105972,0.6095553387403488,0.00797264197608456,0.001
21,1.0,0.007380366042004122,1.0,1.0,21.39187481524694,0.6034558838605881,0.007380366042004122,0.001
22,1.0,0.007693252013026116,1.0,1.0,21.767988460956058,0.6058454815149307,0.007693252013026116,0.001
23,1.0,0.007497675063398977,1.0,1.0,21.58668866104247,0.6082223318815231,0.007497675063398977,0.001
24,1.0,0.007473995598944991,1.0,1.0,22.15317889585397,0.6138865650892258,0.007473995598944991,0.001
25,1.0,0.007620338536410903,1.0,1.0,22.113500967669143,0.6112413673400879,0.007620338536410903,0.001
26,1.0,0.0074884794390527535,1.0,1.0,21.951149184070392,0.6061945915222168,0.0074884794390527535,0.001
27,1.0,0.007419322514421462,1.0,1.0,22.05948233543605,0.6108436453342437,0.007419322514421462,0.001
28,1.0,0.007539713083436557,1.0,1.0,21.958944050623206,0.6053212691545486,0.007539713083436557,0.001
29,1.0,0.007331901177143057,1.0,1.0,21.830539376054922,0.6142376358509064,0.007331901177143057,0.001
