Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate
1,0.9958801002899805,0.015556575552017117,0.4406351565751189,0.43651525697496424,21.809376341708557,0.8100139453411103,0.015620932226165932,0.001
2,0.9993792962233226,0.010704282215227269,0.02849537803641007,0.027874674469853804,22.554729736586957,0.8300647273063659,0.01071093053025913,0.001
3,1.000000432756212,0.010149611591775385,2.010241104961127e-06,2.4429586793346143e-06,22.604692636607222,0.8269902434945107,0.01014960719946982,0.001
4,0.9999999785688188,0.009889367777595503,3.0830647186044305e-08,9.446134092976885e-09,23.018802887802543,0.8357521500587464,0.00988936798953634,0.001
5,1.0000000299082863,0.00968146350208877,1.9818794883110553e-08,4.974323356635041e-08,23.05847344271935,0.8359333513379097,0.009681463212532796,0.001
6,1.000000001695421,0.009619226562583611,5.493021183382449e-09,7.204121183057193e-09,23.25708880298128,0.8366357582211494,0.009619226546274973,0.001
7,1.0000000007152556,0.00909258782522132,3.157708662119847e-09,3.938971623137948e-09,23.243192458593146,0.8365486502051354,0.009092587818717794,0.001
8,0.9999999999735091,0.009042379033544825,1.3133971887632353e-10,1.0819800435517079e-10,23.160802601012087,0.8390554811954498,0.009042379033784366,0.001
9,0.9999999999205271,0.008991165101528168,4.684036948185566e-10,3.875529751170998e-10,23.402217341169408,0.8399067784547806,0.008991165102242722,0.001
10,1.0000000003973644,0.008898582016376572,1.8146115122942048e-09,2.2245164946092708e-09,23.39181038638561,0.8409969972968101,0.008898582012840594,0.001
11,1.000000000026491,0.008745211763721374,1.4801809032618153e-10,1.460821583208422e-10,23.537139064907077,0.8429500967264175,0.008745211763489705,0.001
12,1.0000000004238552,0.00877356946033736,5.84045024145968e-10,1.0043213211288499e-09,23.37801777731491,0.8398321791291237,0.008773569456618637,0.001
13,1.0,0.008900378304999321,1.1678581722206114e-15,2.9360707424378775e-15,23.35994014088028,0.8416469340324402,0.008900378304999321,0.001
14,1.0,0.008619710792942593,4.516874296076263e-16,4.611973942088979e-16,23.464605948647712,0.8432279247641563,0.008619710792942593,0.001
15,1.0,0.008563774030500402,1.957273441796698e-16,6.855337281073515e-16,23.460511176283084,0.8432513651251793,0.008563774030500402,0.001
16,1.0,0.008462746979772217,3.9225209597879044e-16,4.2752601957076944e-16,23.521362597711487,0.8445255960822106,0.008462746979772217,0.001
17,1.0,0.008444063860767832,6.522179171958532e-17,7.469539501937526e-17,23.433226118802533,0.8413974612951278,0.008444063860767832,0.001
18,1.0,0.008484604011858916,1.9203420285145796e-16,2.706149727856492e-16,23.575850161802215,0.8442823097109795,0.008484604011858916,0.001
19,1.0,0.00839976312007962,4.652397905661269e-15,2.28717453924617e-14,23.606428680667555,0.8412251088619233,0.00839976312007962,0.001
20,1.0,0.008459654137957842,2.2209718366175937e-13,2.3149386005739383e-13,23.58887805687646,0.8427224987149239,0.008459654137957842,0.001
21,1.0,0.008512568539991562,3.957061094403424e-15,3.0796802085699415e-15,23.569894980463108,0.8439592659473419,0.008512568539991562,0.001
22,1.0,0.008393656835787825,1.1440463142384089e-14,4.417630443611692e-14,23.531644877352946,0.8419839946031571,0.008393656835787825,0.001
23,1.0,0.008451179180087314,9.533006957938272e-17,8.90433501937556e-17,23.5399766276934,0.8412376351952553,0.008451179180087314,0.001
24,1.0,0.00831816635793075,1.6171285348513105e-15,6.008416260143969e-16,23.63360796240592,0.8440700638890266,0.00831816635793075,0.001
25,1.0,0.008300318088485963,3.363675156935464e-16,8.018036235398517e-16,23.62395972517268,0.8457031766176224,0.008300318088485963,0.001
26,1.0,0.008211150881316926,8.111951948384145e-14,3.888681362801145e-14,23.662251500875673,0.8443620299696922,0.008211150881316926,0.001
27,1.0,0.008371808232946528,2.5897651447990914e-16,4.3903409317459205e-16,23.66321033196993,0.8460320797562599,0.008371808232946528,0.001
28,1.0,0.00824161269236356,2.1477967813906075e-14,4.7160950840729895e-14,23.66343752446106,0.8448598760962486,0.00824161269236356,0.001
29,1.0,0.008317368967148166,8.721527095477812e-16,9.520497437815911e-16,23.543243013004236,0.8434034632444382,0.008317368967148166,0.001
30,1.0,0.008283149363317838,2.79239348428867e-15,2.478989245431637e-15,23.631440455354905,0.842947218477726,0.008283149363317838,0.001
31,1.0,0.008247266204665519,6.0568430363103456e-15,6.953585537976314e-15,23.66209708303699,0.8459213527441025,0.008247266204665519,0.001
32,1.0,0.008210067112464458,5.564058531633655e-16,6.333650816738036e-16,23.661558792094276,0.8433868443965912,0.008210067112464458,0.001
33,1.0,0.008178802566499346,4.3860136659905955e-14,4.886580819959997e-14,23.627629112266433,0.8444801909327507,0.008178802566499346,0.001
34,1.0,0.008196131472061906,6.750053851956785e-16,5.817554452068523e-16,23.668905870550905,0.8439505523443223,0.008196131472061906,0.001
35,1.0,0.008035741182044148,2.9230659812351052e-15,2.5165687842234027e-15,23.644564596828587,0.8417324377894402,0.008035741182044148,0.001
36,1.0,0.008250528135750857,4.170381449523671e-16,3.8360618492184674e-16,23.74039770683757,0.8470079157948494,0.008250528135750857,0.001
37,1.0,0.008193630512131171,5.438178037470173e-16,1.2029423739134373e-15,23.64553801065433,0.8466993888020515,0.008193630512131171,0.001
38,1.0,0.008147847735685193,5.4747679345663955e-16,5.454857393497218e-16,23.710496035600794,0.8455828644037247,0.008147847735685193,0.001
39,1.0,0.008058841866648032,1.5851644585756832e-17,2.671679888018451e-17,23.662802278027527,0.8451335172653198,0.008058841866648032,0.001
40,1.0,0.007884926757309585,1.0376964611602938e-15,1.2187632682223277e-15,23.709581349519063,0.8457136964201927,0.007884926757309585,0.001
41,1.0,0.008181782892853436,1.0283798740335794e-16,2.618382437916484e-16,23.70973535214313,0.8468861799240113,0.008181782892853436,0.001
42,1.0,0.008121621278114617,8.652753711620074e-15,1.1128704189343056e-14,23.626706106241944,0.846414746940136,0.008121621278114617,0.001
43,1.0,0.008161074654664844,4.011613904944909e-14,2.828127486468231e-14,23.665473445030024,0.842713771700859,0.008161074654664844,0.001
44,1.0,0.008135176768733396,1.5462829009971267e-15,1.4949616226883895e-15,23.684247532375792,0.8455278400778771,0.008135176768733396,0.001
45,1.0,0.008160066134606798,5.263527575134263e-15,1.2950044841693475e-14,23.634698676942996,0.8455701869726181,0.008160066134606798,0.001
46,1.0,0.007848020043741497,6.446043109900203e-14,3.8444385641507877e-14,23.598963022949633,0.8450161496400833,0.007848020043741497,0.001
47,1.0,0.00805947113963258,7.227921329565521e-14,5.237150638277466e-14,23.538910750368984,0.8434977772831916,0.00805947113963258,0.001
48,1.0,0.008045229296510418,3.7664831549398393e-16,5.601606656825405e-16,23.689092505070832,0.8459507929682731,0.008045229296510418,0.001
49,1.0,0.008079537640791386,5.019952901409703e-16,6.475381654770524e-16,23.712260716561925,0.8469318734407425,0.008079537640791386,0.001
50,1.0,0.008032453398427201,5.107176327670788e-15,5.5734028823413325e-15,23.732851968882454,0.8464824596047401,0.008032453398427201,0.001
51,1.0,0.008195451880029092,1.4765241797389884e-15,2.073385874341714e-15,23.67929258978829,0.8462247924208641,0.008195451880029092,0.001
52,1.0,0.008066851496282551,2.5676435988199096e-15,3.194952814115235e-15,23.770736769735894,0.8470014657974243,0.008066851496282551,0.001
53,1.0,0.008084607892773217,2.7695494740006634e-15,4.716267996216577e-15,23.615714081781864,0.8466974141001702,0.008084607892773217,0.001
54,1.0,0.007936757611628207,3.4084416164196084e-17,2.777371814143241e-17,23.68987984662541,0.8462576106786728,0.007936757611628207,0.001
55,1.0,0.007822460985483809,2.3209787022741664e-15,2.075293658009143e-15,23.679913947011197,0.8464583075642585,0.007822460985483809,0.001
56,1.0,0.007954655724888047,1.4819007400022983e-14,8.948536321002233e-15,23.660524463205608,0.8471136109232903,0.007954655724888047,0.001
57,1.0,0.007936857906325409,5.907883098893518e-16,1.0279414064513526e-15,23.790407522665554,0.8475372505187988,0.007936857906325409,0.001
58,1.0,0.007930523506676158,8.62391595298851e-16,9.902024549170905e-16,23.50968482507447,0.8452463180422783,0.007930523506676158,0.001
59,1.0,0.008086280148890283,1.5152186806194975e-16,1.0412257602529469e-16,23.713780344292562,0.8453284206390381,0.008086280148890283,0.001
60,1.0,0.007927575248241838,6.520501154003339e-15,6.782079998404455e-15,23.674601984924028,0.8464927188158036,0.007927575248241838,0.001
61,1.0,0.007931652692767481,2.002137152888117e-16,2.4477503780622802e-16,23.697322549727645,0.8458415373563767,0.007931652692767481,0.001
62,1.0,0.00790642436278156,3.3611129205307872e-15,5.032105425003668e-15,23.721588045807223,0.8473312724232673,0.00790642436278156,0.001
63,1.0,0.007887548035993758,1.24070787853513e-14,1.310822413976749e-14,23.647986452843888,0.8470694231986999,0.007887548035993758,0.001
64,1.0,0.00799433534939049,5.433555538335129e-13,6.40856503557512e-13,23.62043108701167,0.8463280512690544,0.00799433534939049,0.001
65,1.0,0.008072082451803403,4.281204275893816e-16,5.143204393192904e-16,23.83153171792518,0.8489901991486549,0.008072082451803403,0.001
66,1.0,0.007833535292082363,6.25441413374837e-15,6.849675349821527e-15,23.77485429801109,0.8459787032008171,0.007833535292082363,0.001
67,1.0,0.007778943940014061,1.2281858825341941e-14,1.0711248419844992e-14,23.742670184438033,0.8484813694953919,0.007778943940014061,0.001
68,1.0,0.007905948446960085,1.8236953921175106e-15,2.577094447924508e-15,23.634532279578863,0.8444323801994323,0.007905948446960085,0.001
69,1.0,0.007939755614795204,1.0397211753676042e-16,2.0142616749350997e-16,23.611612028803584,0.845385812997818,0.007939755614795204,0.001
70,1.0,0.00799111067601997,2.4999810910821e-14,2.2164785485388144e-14,23.76219057502258,0.8470872592329979,0.00799111067601997,0.001
71,1.0,0.00787724073531313,2.2650192364091393e-16,1.4055076281423924e-16,23.68884349563057,0.8457890623211861,0.00787724073531313,0.001
72,1.0,0.008043374488285432,8.36646578772955e-15,1.6390055825533357e-14,23.716532553846385,0.847862715780735,0.008043374488285432,0.001
73,1.0,0.007852533489465713,2.1999990536306654e-14,2.249283175919827e-14,23.578474109096533,0.8457085606455803,0.007852533489465713,0.001
74,1.0,0.007776647189476838,3.1927901154358413e-15,3.2676416870079236e-15,23.597558894856192,0.8453561720848084,0.007776647189476838,0.001
75,1.0,0.00796609466895461,1.1294049440857134e-15,1.9626240206381818e-15,23.743746054618754,0.8460007647871971,0.00796609466895461,0.001
76,1.0,0.007820225103240874,4.760750089195039e-16,4.1498507462107127e-16,23.642973002904007,0.8456925384998322,0.007820225103240874,0.001
77,1.0,0.00790549818183192,2.2416505211287016e-16,2.7435454541182703e-15,23.393255833722286,0.8433364803194999,0.00790549818183192,0.001
78,1.0,0.007992242657372521,8.857366687783618e-15,7.399021049379894e-15,23.623912604814574,0.8452585753798485,0.007992242657372521,0.001
79,1.0,0.007859210459877633,1.2055049967667351e-15,1.0094910265298709e-15,23.66791556063148,0.8468863736391068,0.007859210459877633,0.001
80,1.0,0.007979347883206275,5.195515724326655e-15,4.246907102230472e-15,23.739383141255132,0.8463004445433616,0.007979347883206275,0.001
81,1.0,0.007860568776985424,1.558668055610315e-16,1.5687543996068315e-16,23.72814183344383,0.8457313675284386,0.007860568776985424,0.001
82,1.0,0.00790191392466012,2.1832607793643524e-14,2.526218272446519e-14,23.694578799212618,0.8461670522689819,0.00790191392466012,0.001
83,1.0,0.007933804295801868,2.4784378034668687e-16,3.641256211345699e-16,23.67515367666938,0.8450066258311272,0.007933804295801868,0.001
84,1.0,0.007785473018160296,2.1119227664588205e-16,2.732005481024219e-16,23.7789149863602,0.8464130965471268,0.007785473018160296,0.001
85,1.0,0.007959047589347594,7.237469453225407e-16,1.6071752691653967e-15,23.756370626677437,0.8450749733448029,0.007959047589347594,0.001
86,1.0,0.007705966781462646,1.9119355472924934e-15,9.467469444338838e-16,23.706505071511387,0.847287262737751,0.007705966781462646,0.001
87,1.0,0.007836585061779866,3.0901195046808685e-16,3.2486146294177685e-16,23.646488296436058,0.8429083263874054,0.007836585061779866,0.001
88,1.0,0.007707223089411855,1.0411328443173542e-14,1.3428196776057793e-14,23.75955799961484,0.8466457571387291,0.007707223089411855,0.001
89,1.0,0.007846073745646411,3.4321321192826643e-16,2.6578185316395436e-16,23.6900488145513,0.8464649893641472,0.007846073745646411,0.001
90,1.0,0.007772810389701691,2.5830524918600083e-14,2.757126014973582e-14,23.677218046345466,0.8460685525536538,0.007772810389701691,0.001
91,1.0,0.007782020405038364,6.060884540307777e-15,9.439357134795728e-15,23.775416581397245,0.8467747824192047,0.007782020405038364,0.001
92,1.0,0.007880887888785866,7.263181100513077e-15,8.382887023655156e-15,23.643534555310588,0.8448940898776054,0.007880887888785866,0.001
93,1.0,0.008029686088622031,1.5618587672339652e-16,1.980313161922176e-16,23.730948813365067,0.8444737347364426,0.008029686088622031,0.001
94,1.0,0.0078092032071306475,4.3339961574886325e-14,4.4232504222411837e-14,23.70432647469807,0.8456788166165352,0.0078092032071306475,0.001
95,1.0,0.007918618764728307,1.8078914210333356e-15,1.8271092928356118e-15,23.783703264857632,0.8463125341534614,0.007918618764728307,0.001
96,1.0,0.007581797790351427,1.6132938065827427e-17,7.066210087980971e-18,23.663696347408596,0.8450038669705391,0.007581797790351427,0.001
97,1.0,0.00790447771632009,1.9455156367935417e-16,2.4928253639682675e-16,23.70931724470198,0.8460464234948158,0.00790447771632009,0.001
98,1.0,0.007899087054344516,3.9116897879731725e-16,3.435502779895639e-16,23.615176821279626,0.8418551807999611,0.007899087054344516,0.001
99,1.0,0.0076607682628350125,4.995116290667561e-16,7.418518357800963e-16,23.648955018289698,0.8456816269159317,0.0076607682628350125,0.001
100,1.0,0.007706070185018082,2.1969348092582482e-15,3.580039628928234e-15,23.634769386731787,0.8456490967869759,0.007706070185018082,0.001
